seq_idx,image_number,path,saliency_score,saved_png
0,0,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_55e2b93cc.dcm,4.3643587559927255e-05,000_img000_pred-any_p0.995_s0.00004_ID_55e2b93cc.png
1,1,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_9c7897a93.dcm,3.8938247598707676e-05,001_img001_pred-any_p0.995_s0.00004_ID_9c7897a93.png
2,2,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_1ad3a5325.dcm,2.3783319193171337e-05,002_img002_pred-any_p0.995_s0.00002_ID_1ad3a5325.png
3,3,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_74b0619c0.dcm,2.256358857266605e-05,003_img003_pred-any_p0.995_s0.00002_ID_74b0619c0.png
4,4,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_1c7618400.dcm,2.9458267817972228e-05,004_img004_pred-any_p0.995_s0.00003_ID_1c7618400.png
5,5,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_8a2f322be.dcm,4.451684799278155e-05,005_img005_pred-any_p0.995_s0.00004_ID_8a2f322be.png
6,6,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_28334d5c4.dcm,0.0017902812687680125,006_img006_pred-any_p0.995_s0.00179_ID_28334d5c4.png
7,7,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_5d403555e.dcm,0.0007407349767163396,007_img007_pred-any_p0.995_s0.00074_ID_5d403555e.png
8,8,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_b4d07ca1c.dcm,7.107514829840511e-05,008_img008_pred-any_p0.995_s0.00007_ID_b4d07ca1c.png
9,9,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_1ead1198c.dcm,4.3560266931308433e-05,009_img009_pred-any_p0.995_s0.00004_ID_1ead1198c.png
